,id,average_speed,average_angle,average_acceleration,dist_traveled,max_dist,dist_to_line,direction_changes,max_dist_start,triangle_area
3351,3351,0.16322731015904796,2.595209734448442,0.0007121651225645135,798.9872696397658,5.800067362102789,2.9122187916005235,55,0.4090336905437765,342725.4489241516
3352,3352,6.663387839296054,-37.55917753777147,0.07850584409736826,36409.9514846599,127.67651561563015,797.0190977883348,20,198.6524598131375,112279887.23763615
3353,3353,4.323038334716088,24.565540839418027,0.0051601148380987045,23348.295155418393,57.714102911785695,646.0685157166262,16,75.93488002993098,71076919.4299802
3354,3354,6.1725564182313,-36.59542810134298,-0.03539304386596924,31733.15885439955,71.61029507600507,815.6293995029631,22,121.70710990903528,82153259.75353305
3355,3355,6.1595323129892385,-16.26344499035237,0.07287223661781683,37901.0998719714,42.81572107349897,786.4747840665332,17,106.23379502065231,85955959.32967238
3356,3356,6.8213635777597315,5.202561791315554,-0.017882081887978803,42928.68961411105,64.10393427121483,806.7136395567863,21,85.83996201513602,94295477.33177501
3357,3357,6.521609922469277,39.980349886707565,0.013587387654123189,40100.52917269327,76.2287448734061,1104.4876572239912,19,169.46714470861306,98882871.18831585
3358,3358,6.24818498407225,15.199749164154065,-0.09882071394985176,30421.59782092415,112.10668324644128,658.5320568544602,20,121.60222605038948,72048461.60223752
3359,3359,6.90497148616655,-26.121654771151167,0.10039421694703163,40331.11921237971,113.76404847850768,485.47840251497,22,230.67177591601867,63190121.4312321
3360,3360,8.234978758509738,-3.5709886182780215,0.09804491342251534,47249.39103262648,98.87418373631094,902.1076121413091,37,162.86434901048784,82035665.27884553
3361,3361,7.326453716497097,-17.514215857771774,-0.1639284272409878,41881.25639147281,91.62461568281903,269.81823917551964,24,289.2225484654336,60909327.72422721
3362,3362,8.757803039423878,-13.212601438001128,0.15915134350396126,50249.56518089651,64.63706496863873,1663.4677534379202,16,167.11477008200083,151267118.7738842
3363,3363,7.8416964648677325,-54.92814499276723,-0.023296211859285453,42378.22961811894,62.24193638975291,1087.5910966333377,19,296.25713054878514,184524445.77339563
3364,3364,8.034362114465376,3.6042014520573264,0.01628889898121158,43990.792579140725,61.74770113077328,1618.0698474772257,25,94.21384499636991,119161857.23235598
3365,3365,7.758147207762432,-17.583492687642526,-0.036741620040156325,38701.1044559472,58.63144716672817,758.1327749922199,8,101.48756898260986,194663107.35570234
